sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
FlankerStart_0,0.05998802185058594,7.859167098999023,7.7991790771484375,7.859167098999023,7.7991790771484375,,space,
Practice1_1,72.990718126297,74.7776050567627,1.7868869304656982,74.7776050567627,1.7868869304656982,left-inc,left,1
Practice1_2,74.8115611076355,75.31452798843384,0.5029668807983398,,,,,
Practice1_3,75.35265898704529,75.86082315444946,0.5081641674041748,,,,,
Practice1_4,75.894700050354,76.81076407432556,0.9160640239715576,76.81076407432556,0.9160640239715576,left-con,left,1
Practice1_5,76.84336996078491,77.34359312057495,0.5002231597900391,,,,,
Practice1_6,77.37753200531006,77.8818850517273,0.5043530464172363,,,,,
Practice1_7,77.91521501541138,78.77760314941406,0.8623881340026855,78.77760314941406,0.8623881340026855,left-con,left,1
Practice1_8,78.81009793281555,79.31017804145813,0.5000801086425781,,,,,
Practice1_9,79.34422993659973,79.84880995750427,0.504580020904541,,,,,
Practice1_10,79.88723516464233,80.66089415550232,0.7736589908599854,80.66089415550232,0.7736589908599854,left-neut,left,1
Practice1_11,80.69355201721191,81.21019697189331,0.5166449546813965,,,,,
Practice1_12,81.24425196647644,81.7445650100708,0.5003130435943604,,,,,
Practice1_13,81.77752900123596,82.7942271232605,1.0166981220245361,82.7942271232605,1.0166981220245361,left-con,left,1
Practice1_14,82.82682514190674,83.32686400413513,0.5000388622283936,,,,,
Practice1_15,83.36111497879028,83.87758493423462,0.5164699554443359,,,,,
Practice1_16,83.91103315353394,85.1944260597229,1.2833929061889648,85.1944260597229,1.2833929061889648,left-inc,left,1
Practice1_17,85.22689509391785,85.74354910850525,0.5166540145874023,,,,,
Practice1_18,85.77764916419983,86.29430913925171,0.5166599750518799,,,,,
Practice1_19,86.32771897315979,87.07776308059692,0.7500441074371338,87.07776308059692,0.7500441074371338,left-con,left,1
Practice1_20,87.11021614074707,87.6103241443634,0.500108003616333,,,,,
Practice1_21,87.64435195922852,88.16098594665527,0.5166339874267578,,,,,
