,Labels,TimeStamps
0,['Onset Practice1'],1706284432.318915
1,['Response: left_1'],1706284434.127801
2,['Offset Practice1'],1706284434.1278327
3,['Onset Practice1'],1706284435.2228966
4,['Response: left_1'],1706284436.1557791
5,['Offset Practice1'],1706284436.1558084
6,['Onset Practice1'],1706284437.243398
7,['Response: left_1'],1706284438.1224535
8,['Offset Practice1'],1706284438.1224833
9,['Onset Practice1'],1706284439.2153888
10,['Response: left_1'],1706284440.0058744
11,['Offset Practice1'],1706284440.0059056
12,['Onset Practice1'],1706284441.1056798
13,['Response: left_1'],1706284442.1391888
14,['Offset Practice1'],1706284442.1392138
15,['Onset Practice1'],1706284443.2391684
16,['Response: left_1'],1706284444.5393436
17,['Offset Practice1'],1706284444.539373
18,['Onset Practice1'],1706284445.6558332
19,['Response: left_1'],1706284446.422532
20,['Offset Practice1'],1706284446.4225588
21,['Onset Practice1'],1706284447.527134
22,['Response: right_1'],1706284448.31036
23,['Offset Practice1'],1706284448.3103914
24,['Onset Practice1'],1706284449.422416
25,['Response: left_1'],1706284450.3934693
26,['Offset Practice1'],1706284450.3935006
27,['Onset Practice1'],1706284451.5179076
28,['Response: right_1'],1706284452.572694
29,['Offset Practice1'],1706284452.5727248
30,['Onset Practice1'],1706284453.689051
31,['Response: left_1'],1706284454.2559133
32,['Offset Practice1'],1706284454.255939
33,['Onset Practice1'],1706284455.3559806
34,['Response: right_1'],1706284456.2227395
35,['Offset Practice1'],1706284456.2227662
36,['Onset Practice1'],1706284457.3100379
37,['Response: left_1'],1706284458.6893802
38,['Offset Practice1'],1706284458.689417
39,['Onset Practice1'],1706284459.8103485
40,['Response: right_1'],1706284460.4392676
41,['Offset Practice1'],1706284460.4393072
42,['Onset Practice1'],1706284461.5270035
43,['Response: right_1'],1706284462.3560746
44,['Offset Practice1'],1706284462.356105
45,['Onset Practice1'],1706284463.4559505
46,['Response: left_1'],1706284464.5227928
47,['Offset Practice1'],1706284464.5228248
48,['Onset Practice1'],1706284465.6059349
49,['Response: left_1'],1706284466.3229146
50,['Offset Practice1'],1706284466.3229487
51,['Onset Practice1'],1706284467.4224815
52,['Response: right_1'],1706284468.0393028
53,['Offset Practice1'],1706284468.0393338
54,['Onset Practice1'],1706284469.1391325
55,['Response: right_1'],1706284469.8226378
56,['Offset Practice1'],1706284469.8226638
57,['Onset Practice1'],1706284470.9269984
58,['Response: right_1'],1706284471.4727614
59,['Offset Practice1'],1706284471.4727876
60,['Onset Practice1'],1706284472.5557983
61,['Response: left_1'],1706284473.3392868
62,['Offset Practice1'],1706284473.3393173
63,['Onset Practice1'],1706284474.4225295
64,['Response: right_1'],1706284475.0272279
65,['Offset Practice1'],1706284475.0272543
66,['Onset Practice1'],1706284476.1226773
67,['Response: right_1'],1706284476.8395984
68,['Offset Practice1'],1706284476.8396282
69,['Onset Practice1'],1706284477.9393318
70,['Response: right_1'],1706284478.58938
71,['Offset Practice1'],1706284478.5894105
72,['Onset Practice1'],1706284479.6771
73,['Response: right_1'],1706284480.4562063
